doc_id,domain,subdomain,file_path,file_name,file_hash,file_size_mb,title,publication_year,source_type,document_type,region,num_pages,has_tables,has_workbook,parse_status,notes
isp_2026_main,isp,nem,data/raw/isp/pdf/2026-integrated-system-plan-isp.pdf,2026-integrated-system-plan-isp.pdf,63729c0e74cdc7f2e2c3c895e511986f9efabf1696a99dfd5343f054659102e5,6.93,2026 Integrated System Plan,2026,pdf,planning_report,NEM,141,yes,yes,pending,main ISP report
esoo_2025_main,esoo,nem,data/raw/esoo/nem/pdf/2025-electricity-statement-of-opportunities.pdf,2025-electricity-statement-of-opportunities.pdf,97efd170c73a11d71224a2f1dba89543c545df3cf610b763ac841e1b5c92b431,3.99,2025 Electricity Statement of Opportunities,2025,pdf,planning_report,NEM,100,yes,yes,pending,esoo main report for eastern states
security_guidelines_3715,operations,nem,data/raw/operations/pdf/so_op_3715-power-system-security-guidelines.pdf,so_op_3715-power-system-security-guidelines.pdf,b986d1e792ac7bb7eefc64a90c6431ef564ee29558fbf4f640e2af1f957a74a3,1.13,Power System Security Guidelines SO_OP_3715,2026,pdf,operational_procedure,NEM,67,yes,no,pending,regulatory logic and constraints
